antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Yield_Category_High', 'Rainfall_Category_Moderate Rainfall'})",frozenset({'Irrigation_Used'}),0.356188,0.499908,0.213522,0.5994643278268779,1.1991492991247947,1.0,0.03546076929599998,1.2485579556166146,0.25795648895898204,0.33229168936184783,0.19907602566503332,0.5132934591917702
"frozenset({'Irrigation_Used', 'Rainfall_Category_Moderate Rainfall'})",frozenset({'Yield_Category_High'}),0.277492,0.40344,0.213522,0.7694708315915413,1.9072745181229953,1.0,0.10157062751999997,2.5877853293731423,0.6583894250549773,0.45681949466207383,0.613569182632998,0.6493621260872637
frozenset({'Yield_Category_High'}),"frozenset({'Irrigation_Used', 'Rainfall_Category_Moderate Rainfall'})",0.40344,0.277492,0.213522,0.5292534205829863,1.9072745181229955,1.0,0.10157062751999997,1.534813064164534,0.7973910867601273,0.45681949466207383,0.3484548552860125,0.6493621260872637
frozenset({'Irrigation_Used'}),"frozenset({'Yield_Category_High', 'Rainfall_Category_Moderate Rainfall'})",0.499908,0.356188,0.213522,0.4271225905566624,1.1991492991247947,1.0,0.03546076929599998,1.123821587982653,0.3320898616047851,0.33229168936184783,0.11017904381506154,0.5132934591917702
frozenset({'Rainfall_Category_Moderate Rainfall'}),"frozenset({'Yield_Category_High', 'Irrigation_Used'})",0.555344,0.257628,0.213522,0.38448601227347373,1.4924077051930447,1.0,0.070449835968,1.2061009413320383,0.7420158815093312,0.35619651347068143,0.17088200022828676,0.6066428384531
"frozenset({'Yield_Category_High', 'Fertilizer_Used'})",frozenset({'Irrigation_Used'}),0.273718,0.499908,0.160922,0.5879116462928999,1.1760396838876352,1.0,0.024088182055999996,1.2135552861448986,0.20610252978483826,0.2626423199456834,0.17597491320177072,0.4549074382436279
"frozenset({'Yield_Category_High', 'Irrigation_Used'})",frozenset({'Fertilizer_Used'}),0.257628,0.498874,0.160922,0.6246293104786746,1.2520783012918586,1.0,0.03239808912799999,1.3350163291626165,0.271195445137279,0.2701937607038517,0.2509454917100184,0.4735998695419468
"frozenset({'Fertilizer_Used', 'Irrigation_Used'})",frozenset({'Yield_Category_High'}),0.249648,0.40344,0.160922,0.6445955905915529,1.5977483407484456,1.0,0.060204010880000006,1.6785385442823975,0.49859160244124473,0.3269669176659908,0.40424364790055134,0.5217351341813604
frozenset({'Yield_Category_High'}),"frozenset({'Fertilizer_Used', 'Irrigation_Used'})",0.40344,0.249648,0.160922,0.398874677771168,1.5977483407484456,1.0,0.060204010880000006,1.2482455359189835,0.627127541362131,0.3269669176659908,0.19887556476316176,0.5217351341813604
frozenset({'Fertilizer_Used'}),"frozenset({'Yield_Category_High', 'Irrigation_Used'})",0.498874,0.257628,0.160922,0.322570428605219,1.2520783012918588,1.0,0.03239808912799999,1.0958659487974625,0.40175106659293697,0.2701937607038517,0.0874796309737153,0.4735998695419468
frozenset({'Irrigation_Used'}),"frozenset({'Yield_Category_High', 'Fertilizer_Used'})",0.499908,0.273718,0.160922,0.3219032301943558,1.1760396838876352,1.0,0.024088182055999996,1.0710595188473861,0.2993220398190571,0.2626423199456834,0.0663450700889679,0.4549074382436279
"frozenset({'Yield_Category_High', 'Fertilizer_Used', 'Irrigation_Used'})",frozenset({'Rainfall_Category_Moderate Rainfall'}),0.160922,0.555344,0.117698,0.7313978200618932,1.3170175964121218,1.0,0.028330932832,1.65544449454007,0.28687285592512934,0.1966326298766389,0.39593263120680544,0.47166746285586236
"frozenset({'Yield_Category_High', 'Fertilizer_Used', 'Rainfall_Category_Moderate Rainfall'})",frozenset({'Irrigation_Used'}),0.227348,0.499908,0.117698,0.5176997378468251,1.0355900242581138,1.0,0.004044916015999989,1.0368893389512084,0.04447915137218271,0.19308745025083748,0.03557692953861506,0.37656952934092935
"frozenset({'Yield_Category_High', 'Irrigation_Used', 'Rainfall_Category_Moderate Rainfall'})",frozenset({'Fertilizer_Used'}),0.213522,0.498874,0.117698,0.5512218881426738,1.1049320833370226,1.0,0.01117742577200001,1.1166453683002169,0.1207497200833511,0.19791221762978853,0.10446053116915473,0.3935745982204808
"frozenset({'Fertilizer_Used', 'Irrigation_Used', 'Rainfall_Category_Moderate Rainfall'})",frozenset({'Yield_Category_High'}),0.138368,0.40344,0.117698,0.850615749306198,2.1084070724424895,1.0,0.06187481408,3.9934598006773108,0.6101308772089474,0.27751762514442,0.7495905681007744,0.5711759095529602
"frozenset({'Yield_Category_High', 'Fertilizer_Used'})","frozenset({'Irrigation_Used', 'Rainfall_Category_Moderate Rainfall'})",0.273718,0.277492,0.117698,0.4299972964876259,1.5495844798683418,1.0,0.04174344474399999,1.2675518827329828,0.4883305796805359,0.27149882817545995,0.21107765794652228,0.4270732305741144
"frozenset({'Yield_Category_High', 'Irrigation_Used'})","frozenset({'Fertilizer_Used', 'Rainfall_Category_Moderate Rainfall'})",0.257628,0.276824,0.117698,0.45685251603086613,1.6503356501996436,1.0,0.04638038652799999,1.3314542023011504,0.530815623916038,0.2824160056052251,0.2489414969950138,0.44101259446025
"frozenset({'Yield_Category_High', 'Rainfall_Category_Moderate Rainfall'})","frozenset({'Fertilizer_Used', 'Irrigation_Used'})",0.356188,0.249648,0.117698,0.33043785865891045,1.323615084674864,1.0,0.028776378175999998,1.1206607328441445,0.37975891855997823,0.24111624171853038,0.10766927876371415,0.40094683421954047
"frozenset({'Fertilizer_Used', 'Irrigation_Used'})","frozenset({'Yield_Category_High', 'Rainfall_Category_Moderate Rainfall'})",0.249648,0.356188,0.117698,0.47145580978017043,1.323615084674864,1.0,0.028776378175999998,1.2180854731034483,0.32583820510365363,0.24111624171853038,0.17903954847093626,0.40094683421954047
"frozenset({'Fertilizer_Used', 'Rainfall_Category_Moderate Rainfall'})","frozenset({'Yield_Category_High', 'Irrigation_Used'})",0.276824,0.257628,0.117698,0.42517267288963384,1.6503356501996436,1.0,0.04638038652799999,1.2914695683169315,0.544905605769269,0.2824160056052251,0.22568829763196055,0.44101259446025
"frozenset({'Irrigation_Used', 'Rainfall_Category_Moderate Rainfall'})","frozenset({'Yield_Category_High', 'Fertilizer_Used'})",0.277492,0.273718,0.117698,0.4241491646606028,1.5495844798683418,1.0,0.04174344474399999,1.261232866966219,0.49088136058222054,0.27149882817545995,0.20712500744972726,0.4270732305741144
frozenset({'Yield_Category_High'}),"frozenset({'Fertilizer_Used', 'Irrigation_Used', 'Rainfall_Category_Moderate Rainfall'})",0.40344,0.138368,0.117698,0.2917360697997224,2.1084070724424895,1.0,0.06187481408,1.2165408448180526,0.8812328818413904,0.27751762514442,0.17799718418039534,0.5711759095529602
frozenset({'Fertilizer_Used'}),"frozenset({'Yield_Category_High', 'Irrigation_Used', 'Rainfall_Category_Moderate Rainfall'})",0.498874,0.213522,0.117698,0.23592730829828776,1.1049320833370226,1.0,0.01117742577200001,1.0293235297395429,0.18950722642950835,0.19791221762978853,0.028488156437036723,0.3935745982204808
frozenset({'Irrigation_Used'}),"frozenset({'Yield_Category_High', 'Fertilizer_Used', 'Rainfall_Category_Moderate Rainfall'})",0.499908,0.227348,0.117698,0.23543932083503363,1.0355900242581138,1.0,0.004044916015999989,1.010582967520473,0.06872116583752533,0.19308745025083748,0.010472141190385371,0.37656952934092935
frozenset({'Rainfall_Category_Moderate Rainfall'}),"frozenset({'Yield_Category_High', 'Fertilizer_Used', 'Irrigation_Used'})",0.555344,0.160922,0.117698,0.21193710564983148,1.3170175964121218,1.0,0.028330932832,1.064734814969176,0.5413369035927675,0.1966326298766389,0.06079900277427304,0.47166746285586236
"frozenset({'Yield_Category_High', 'Harvest_Time_Category_Medium Harvest'})",frozenset({'Rainfall_Category_Moderate Rainfall'}),0.219194,0.555344,0.19348,0.882688394755331,1.5894443709760637,1.0,0.07175192726400002,3.7903837311970174,0.47495706269152205,0.3329788076233354,0.7361744691521783,0.6155425321035292
"frozenset({'Harvest_Time_Category_Medium Harvest', 'Rainfall_Category_Moderate Rainfall'})",frozenset({'Yield_Category_High'}),0.301496,0.40344,0.19348,0.6417332236580254,1.5906534395648062,1.0,0.07184445376000001,1.6651278862390761,0.5316040378101562,0.3782925608458988,0.39944552711885717,0.560654436536528
frozenset({'Yield_Category_High'}),"frozenset({'Harvest_Time_Category_Medium Harvest', 'Rainfall_Category_Moderate Rainfall'})",0.40344,0.301496,0.19348,0.4795756494150307,1.590653439564806,1.0,0.07184445376000001,1.3421816239283673,0.6224479462695209,0.3782925608458988,0.2549443516644582,0.560654436536528
frozenset({'Rainfall_Category_Moderate Rainfall'}),"frozenset({'Yield_Category_High', 'Harvest_Time_Category_Medium Harvest'})",0.555344,0.219194,0.19348,0.34839666945172726,1.5894443709760635,1.0,0.07175192726400002,1.1982842373488385,0.8340139889980491,0.3329788076233354,0.1654734587743015,0.6155425321035292
"frozenset({'Yield_Category_High', 'Harvest_Time_Category_Medium Harvest'})",frozenset({'Irrigation_Used'}),0.219194,0.499908,0.13966,0.6371524768013723,1.2745394688650158,1.0,0.030083165848,1.37824283762919,0.2758724668235902,0.24102498610732395,0.2744384569266701,0.4582619405698853
"frozenset({'Irrigation_Used', 'Harvest_Time_Category_Medium Harvest'})",frozenset({'Yield_Category_High'}),0.2714,0.40344,0.13966,0.5145910095799558,1.2755081538269775,1.0,0.030166384000000004,1.2289842416881738,0.2964572327705861,0.26095892970589335,0.1863199168230452,0.43038196126429873
frozenset({'Yield_Category_High'}),"frozenset({'Irrigation_Used', 'Harvest_Time_Category_Medium Harvest'})",0.40344,0.2714,0.13966,0.34617291294864166,1.2755081538269775,1.0,0.030166384000000004,1.1143619076503148,0.36207378938689994,0.26095892970589335,0.1026254638328873,0.43038196126429873
