,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
1119,"frozenset({'18-25, Other Africa, Secondary, Low, Not Certified', '6.002x'})",frozenset({'6.00x'}),0.0022281564131784396,0.4380283367067508,0.0015307944823363326,0.6870229007633588,1.5684439639878909,1.0,0.0005547988347493009,1.7955679973516014,0.36323476488660084,0.003489183531053734,0.4430731659981887,0.3452588196202147
148,"frozenset({'18-25, India, Secondary, Very High, Certified'})",frozenset({'6.002x'}),0.002721412413042369,0.2925008079193101,0.0018539622063851139,0.68125,2.329053395941153,1.0,0.0010579468768885819,2.219605308488439,0.5721982031911454,0.006319573283858999,0.549469450187518,0.34379415741117636
1055,"frozenset({'CS50x', '18-25, India, Secondary, Low, Not Certified'})",frozenset({'6.00x'}),0.012620550065483986,0.4380283367067508,0.008555440273501948,0.6778975741239892,1.547611232690238,1.0,0.0030272817199937224,1.7446986366677444,0.3583656627700336,0.01935210834102801,0.42683511124309015,0.34871463958403087
1219,"frozenset({""18-25, Russian Federation, Master's, Low, Not Certified"", '6.002x'})",frozenset({'6.00x'}),0.0015307944823363326,0.4380283367067508,0.0010375384824724031,0.6777777777777777,1.547337742744103,1.0,0.0003670071215347478,1.744049989530773,0.35427099963891584,0.0023659917772089053,0.4266219397363464,0.3400732169283406
1532,"frozenset({'CS50x', ""26-35, India, Master's, Low, Not Certified""})",frozenset({'6.00x'}),0.0017349004133145102,0.4380283367067508,0.0011736091031245217,0.6764705882352942,1.544353484802456,1.0,0.00041367356072851227,1.7370033229064068,0.35309243028891923,0.002675870627472272,0.4242958624127618,0.33957494386719084
966,"frozenset({""18-25, India, Bachelor's, Low, Not Certified"", '8.02x'})",frozenset({'6.002x'}),0.012926708961951253,0.2925008079193101,0.008742537376898611,0.6763157894736842,2.3121843467189813,1.0,0.004961464561790084,2.1857698617127004,0.5749406231433734,0.029467408129335557,0.5424952930696778,0.35310236179504995
1200,"frozenset({'CS50x', ""18-25, Other South Asia, Bachelor's, Low, Not Certified""})",frozenset({'6.00x'}),0.0017178915857329953,0.4380283367067508,0.0011566002755430068,0.6732673267326733,1.5370405754900036,1.0,0.0004041150816018603,1.7199738785641872,0.3500003507843538,0.0026370898937407897,0.41859582144655155,0.3379538979021189
1537,"frozenset({""26-35, Other Africa, Bachelor's, Low, Not Certified"", '6.002x'})",frozenset({'6.00x'}),0.0018709710339666287,0.4380283367067508,0.0012586532410320957,0.6727272727272727,1.5358076552422844,1.0,0.0004391149109971836,1.7171356378404836,0.3495307587122934,0.0028694404591104736,0.41763482280431435,0.3378003621819876
976,"frozenset({""18-25, India, Bachelor's, Low, Not Certified"", 'CS50x'})",frozenset({'6.00x'}),0.01178711751398976,0.4380283367067508,0.0079261136529859,0.6724386724386725,1.5351487930993233,1.0,0.0027630221737659543,1.7156227430053823,0.3527553130978852,0.017936874518860665,0.4171212732653412,0.34526682583219687
1518,"frozenset({'CS50x', ""26-35, India, Bachelor's, Low, Not Certified""})",frozenset({'6.00x'}),0.0021261034476893507,0.4380283367067508,0.0014117326892657289,0.664,1.515883664039141,1.0,0.0004804391324078742,1.6725347121822896,0.34104386455619984,0.0032176778445435162,0.4021050847457628,0.3336114627422048
